Drake_data
"Now it's, ""Fuck you, I hate you, I'll move out in a heartbeat!"""
And I finally send you to Rome
Put a bib on me
They was hatin' on me then and they hatin' now (hatin' now)
Take a shot for me
Keep a broad on the floor year 'round like season tickets
"I just do it cause I'm 'sposed to, nigga"
"Wake up with me this weekend, we can"
"Niggas is frontin', that's upside-down cake"
"Came up, that's all me, stay true, that's all me"
We ain’t even have a tour bus
Got a lot of people tryna drain me of this energy
"I'm acting out in the open, it's hard for you to ignore"
Whoa
People I believed in they don't even show they face now
"I still been plottin' on the low, schemin' on the low"
"Free smoke, free smoke, ayy!"
Tat on my ribs like I do not know what permanent is
A pair of Jordan 3's tryna chase this cash
All my people been here
We make a mixtape with 17 songs
"I look around the peers that surround me, these niggas tripping"
That Kai's kitchen in a Canada Goose
I don't pass 'em when I get it (naw)
Smiling back when they pree (Jheeze!)
"Oh ho, I know it, we all know it"
"Instead, I ask myself, ""Why do you worry?"""
""
None of them want this shit more than I want it
"Trust me girl, this shit is everything to me"
The woman that I would try
"I guess, for the fuck-shit I'm biased"
Somewhere between I want it and I got it
"Skrrt skrrt, oh"
Fuck any nigga that's talking that shit just to get a reaction
You gotta be nice for what to these niggas?
"I dedicate, dedicate, dedicate"
"No help, that's all me, all me for real"
You haven't been the man for like a minute
That's the wrong thing to do
That's the wrong thing to do
"Just hold on, we're going home (going home)"
You runnin' your fingers through my curls
I might get a key to the city and give it to Wayne
"I took a break from Views, now it's back to that, nigga (Six)"
"Wine it, wine it, very long time"
"Care for me, care for me, you said you'd care for me"
Bunch of journalists been searchin' for a story
Fucka never loved us
"Don't be ashamed, it's plenty niggas that do what you do"
There's times when I might blow like 50k on a vacation
That's been where you find me at
"Might go down a G.O.D., yeah, wait"
"Skrrt skrrt, oh"
If you ain’t running games
"No help, that's all me, all me for real"
I've stopped listening to things you say
""
Cause you don't say you love me to your friends when they ask you
And I'll start hatin' only if you make me
"I'm not even Christian, I still went to church that year"
"I give a fuck about your mob, boy (oh)"
"I got strippers in my life, but they virgins to me"
"Every time I see ‘em, somethin’ wrong with their memory"
They can't live this long
"Like controlla, controlla, yeah"
"Been ready, it's real, I don't know 'bout you"
"Hermès link, ice-blue mink"
"We the one droppin' niggas, we the ones (we the ones)"
"Y'all keep talking ‘bout who next, but I’m about as big as it gets"
Tat on my ribs like I do not know what permanent is
"Don't make me break your Kevin Hart, boy"
"Then you find it, awkward silence"
""
"This a ""doing-me-and-only-God-can-judge"" song"
Hate when they get too attached to me
"Stop, stop, stop..."
I don't wanna hear about this ever again
"Ever since I left the city, you"
"If I die, I'm a legend"
"Give to me, give to me, why won't you live for me?"
Cause you don't really wanna hear me vent more
Maybe I'm searchin' for the problems
Just to tell me they ain’t really friends
"Ten million dollars, gotta hide the safe"
Mothafuckas never loved us
""
22. Do Not Disturb
It don't work like that when you love somebody
'Cause if we judging off your advances
"Now she want a photo, you already know, though"
"Yeah, and fuck, you left The Boy no options"
Cause we never decided
Take a shot for me
Sold a couple Bentley last week
My life's a completed checklist
I should call one and go home
""
"When you're stressed out and you need something, I got you"
"And I don't feel that shit, not even a little bit"
"Like controlla, controlla, yeah"
Guess whose it is? Guess whose it is? Yours
"They love your son—man, that boy gone"
You knew that I was gonna be something
"You used to, you used to"
""
"Go own that shit, it's yours, it's yours, own it, own it, own it, own it"
Why has it been? Why has it been?
Just me and my old man getting back to basics
Nothin' really changed but still they look at me a way now
Say my name
"And Drizzy got the money, so Drizzy gonna pay it"
It's yours
To see who really with you
If we do a song it's like takin' my kids to work with me
Last verse that I gotta do is always like surgery
"You only live once: that's the motto, nigga, YOLO"
You gon' make someone around me catch a body like that
5. Get It Together ft. Black Coffee and Jorja Smith
There's never much love when we go OT
They loving the crew
Doin' overtime for the last month
""
"They wishin' on me, yeah, yeah"
"Give to me, give to me, why won't you live for me?"
I take a glass of Domina to go with me home
Luckily I didn't have to grow there
"I'll admit it, I've admitted to a lot of things"
"They wishin' on me, yuh"
"I still got ten years to go, huh?"
"And taint all the images of your ""Mr. Perfect"""
